id,conjuncts_total,conjuncts_elim
8000000000,1260,966
8000010000,2244,1734
8000050000,2284,1758
8000050040,2284,1758
8000058040,2388,1838
800005a040,2436,1886
20000000800005a040,2444,1883
20100000800005a040,2457,1889
20140000800005a040,2477,1903
20140000800005a042,2485,1903
20140002800005a042,2493,1909
20140002820005a042,2502,1917
20140002820205a042,2603,1870
420140002820205a042,2608,1869
420140002820205e042,2880,2045
42014000282020de042,5056,3581
42014000283020de042,5065,3590
42014000283020de062,5065,3624
4201400028b020de062,5131,3624
420140002ab020de062,5133,3626
520140002ab020de062,5135,3631
560140002ab020de062,5203,3665
560160002ab020de062,5310,3697
560168002ab020de062,5380,3761
560168002ab021de062,5768,3964
560168002ab021de066,5904,3966
560168002af021de066,5906,3968
560168002ef021de066,5911,3971
4560168002ef021de066,6019,4002
4562168002ef021de066,6025,4007
4562168002ef221de066,11893,7922
4562168002ef221de866,12149,8306
4562168002ef221dea66,12146,8303
4562169002ef221dea66,12146,8271
4572169002ef221dea66,12154,8276
4572169006ef221dea66,12160,8278
4572169016ef221dea66,12164,8282
4572169016ef221deae6,12334,8283
4572169016ef221deae7,12500,8337
457a169016ef221deae7,12508,8346
457a169016ef221deee7,12509,8347
457b169016ef221deee7,12521,8349
457b169016ef221dfee7,13673,8861
457b169016ff221dfee7,13673,8861
457b169016ff231dfee7,14261,8861
45fb169016ff231dfee7,14261,8861
45fb169816ff231dfee7,14393,8931
45fb369816ff231dfee7,14535,8997
4dfb369816ff231dfee7,14663,9067
4dfb369836ff231dfee7,14677,9079
4dfbb69836ff231dfee7,14683,9087
4dfbb69c36ff231dfee7,14833,9084
4dfbb69c36ffa31dfee7,14851,9092
4dfbb69cb6ffa31dfee7,14859,9160
4dfbb69cb6ffb31dfee7,14865,9164
5dfbb69cb6ffb31dfee7,14997,9234
5dfbb69eb6ffb31dfee7,15074,9234
5dfbb69fb6ffb31dfee7,15151,9234
5dfbb79fb6ffb31dfee7,15285,9298
5dfbb79fb6fff31dfee7,15289,9304
5dfbb7dfb6fff31dfee7,15406,9368
5dfbf7dfb6fff31dfee7,15420,9371
5dfbf7dfb6fff39dfee7,16208,9371
5dfbf7ffb6fff39dfee7,16338,9445
5dfbf7ffb6fff3ddfee7,17514,9833
5dfbf7ffb6fff3ddfeef,18068,9920
5dfbf7ffb6fff7ddfeef,19062,9920
5ffbf7ffb6fff7ddfeef,19064,9922
5ffff7ffb6fff7ddfeef,19076,9932
7ffff7ffb6fff7ddfeef,19211,10062
7ffff7fff6fff7ddfeef,19217,10129
7ffff7fff7fff7ddfeef,19218,10130
7ffff7fff7fff7dffeef,28498,14866
7ffffffff7fff7dffeef,28566,14902
7ffffffffffff7dffeef,28588,14913
7ffffffffffff7fffeef,29876,15621
7ffffffffffff7fffeff,29876,15589
7ffffffffffffffffeff,32488,15911
7fffffffffffffffffff,32619,16042
8000,1360,1042
8000000008000,1396,1060
1008000000008000,1409,1066
20001008000000008000,1430,1080
20001008000002008000,1483,1055
20201008000002008000,1491,1052
20201008000003008000,1569,1052
20201208000003008000,1628,1076
20203208000003008000,1674,1102
22203208000003008000,1675,1103
22223208000003008000,1681,1107
22223208000043008000,1683,1109
22223208002043008000,1685,1111
22223208002043108000,1785,1169
32223208002043108000,1819,1189
32227208002043108000,1826,1194
32227218002043108000,1826,1186
72227218002043108000,1904,1219
72227218002053108000,1907,1221
72627218002053108000,1943,1239
72627218402053108000,1946,1256
72627218c02053108000,1952,1404
72627a18c02053108000,1972,1416
72627a18c02453108000,1974,1418
7262fa18c02453108000,1978,1422
7262fa18c02453108100,1980,1422
7262fa18c02553108100,1989,1430
7262fa18c02553108108,2030,1430
726afa18c02553108108,2038,1434
726afa18c0255310c108,2438,1642
726afa18c0255310c188,2442,1642
726afa18c2255310c188,2457,1647
726afa1cc2255310c188,2515,1651
726afa1cc2255311c188,3763,2315
726afa1cd2255311c188,3767,2319
726afa1cd2655311c188,3772,2324
726afa1cd2675311c188,3785,2333
726afa1cd3675311c188,3786,2334
726afa1cd3675351c188,4086,2432
726afa1cd3675b51c188,4496,2481
726afa1cd3675b59c188,4536,2481
726afa1cdb675b59c188,4546,2487
726afa1cdb675b59c18a,4603,2518
726afa1cdb675b59c58a,4603,2518
736afa1cdb675b59c58a,4605,2523
736afa5cdb675b59c58a,4639,2542
