id,conjuncts_total,conjuncts_elim
400000000000000000,208,140
100000000400000000000000000,210,142
100000000400000008000000000,215,142
400000000100000000400000008000000000,215,142
20400000000100000000400000008000000000,217,144
20400020000100000000400000008000000000,218,144
20400020000100002000400000008000000000,219,144
20400020000100402000400000008000000000,221,146
20401020000100402000400000008000000000,221,145
20401020000100402000480000008000000000,225,149
20401020000110402000480000008000000000,227,149
20401020400110402000480000008000000000,229,151
20401020400110402000480000008200000000,229,150
20401020400110402000480000008200000200,233,154
20401020400110406000480000008200000200,233,154
20401120400110406000480000008200000200,235,156
20401120400110446000480000008200000200,237,156
20401120400110446000680000008200000200,239,158
22401120400110446000680000008200000200,243,162
22401120400110446000680000008200000280,245,164
22401128400110446000680000008200000280,247,167
22401128400110646000680000008200000280,249,170
22401128400110646000680400008200000280,256,172
22401128400110646000680400008204000280,258,172
22401128400110646002680400008204000280,260,174
22401128400110646002680440008204000280,261,174
22401128400112646002680440008204000280,263,177
22401128400112646002680440808204000280,263,175
22401128480112646002680440808204000280,264,175
22401128480112646002680440828204000280,287,183
224011284a0112646002680440828204000280,289,186
224011284e0112646002680440828204000280,291,188
2240112c4e0112646002680440828204000280,294,188
2a40112c4e0112646002680440828204000280,294,185
2a40112c6e0112646002680440828204000280,296,187
3a40112c6e0112646002680440828204000280,300,190
3a60112c6e0112646002680440828204000280,297,187
3a62112c6e0112646002680440828204000280,297,187
3a62112c6e0112666002680440828204000280,299,189
3a62112c6e0112666002e80440828204000280,301,190
3a62112c6e0112666006e80440828204000280,302,190
3a62112c6e0112666006e80440828204000290,310,194
3a62112c6e0112666006e90440828204000290,312,196
3a62112c6e0112666006e90460828204000290,314,198
3a62112c6e0112666006e90460828204400290,321,198
3a62112c6e011266600ee90460828204400290,323,200
3a62112c6e811266600ee90460828204400290,325,200
3a62112c6e811266600ee90460828204400298,333,204
3a62112c6e811266600eeb0460828204400298,334,204
3a62112c6e811266600eeb0460828204402298,347,202
3a62112c6e813266600eeb0460828204402298,349,203
3a62152c6e813266600eeb0460828204402298,355,206
3a62152c6ec13266600eeb0460828204402298,360,212
3a62152c6ec13266600eeb0460828204602298,364,212
3ae2152c6ec13266600eeb0460828204602298,367,213
3ae2152c6ec13266600eeb0460828224602298,380,219
3ae21d2c6ec13266600eeb0460828224602298,383,224
3ae21d2c6ec13266620eeb0460828224602298,385,224
3ae21f2c6ec13266620eeb0460828224602298,391,224
3ae21f2c6ec13266720eeb0460828224602298,393,226
3ae21f2c6ec13266720eeb0460828224602a98,411,239
3ae21f2c6ec13266722eeb0460828224602a98,413,241
3ae21f2c6ec13266722eeb0460828224602e98,431,252
3ae21f2c6ec1326672aeeb0460828224602e98,433,253
3ae21f2c6ec1326672aeeb0460868224602e98,459,263
3ae21f2c6ec1326672aeeb0460868224602e9c,473,271
3ae21f2c6ec1326672aeeb0460868224642e9c,491,278
3ae21f2c6ec1326672aeef0460868224642e9c,492,278
3ae25f2c6ec1326672aeef0460868224642e9c,494,280
3ae25f2c6ec1326672aeef0468868224642e9c,496,280
3ae25f2c6ec132e672aeef0468868224642e9c,497,280
3ae25f2c6ec132e672aeef0468869224642e9c,514,287
3ae25f2c7ec132e672aeef0468869224642e9c,515,288
3ae25f2e7ec132e672aeef0468869224642e9c,519,292
3ae25f2e7ec132e673aeef0468869224642e9c,521,294
3ae25f2e7ec132e673aeef0468869224646e9c,544,301
3ae25f2e7ec132e673aeef8468869224646e9c,546,304
3ae25f2e7ec132e673aeef84e8869224646e9c,550,310
3ae25f2e7ec932e673aeef84e8869224646e9c,550,310
3ae25f2e7ecb32e673aeef84e8869224646e9c,552,312
3ee25f2e7ecb32e673aeef84e8869224646e9c,553,314
3ee25f2e7ecb32e673aeef84e88692246c6e9c,571,321
3ee2df2e7ecb32e673aeef84e88692246c6e9c,572,321
13ee2df2e7ecb32e673aeef84e88692246c6e9c,572,322
13ee2df2e7ecb32e673beef84e88692246c6e9c,581,326
13ee2df2e7ecb32e6f3beef84e88692246c6e9c,581,326
13ee2df2e7ecb32e6f3beef85e88692246c6e9c,583,328
13ee6df2e7ecb32e6f3beef85e88692246c6e9c,583,329
13ee6df2e7ecb32e6f3beef85e88692246c6f9c,629,345
13ee6df2e7ecb32eef3beef85e88692246c6f9c,631,346
13ee6df3e7ecb32eef3beef85e88692246c6f9c,633,348
13ee6df3e7ecb32eff3beef85e88692246c6f9c,644,355
13ee6df3e7ecb32eff3beef85e8869a246c6f9c,665,363
13ee6df3e7ecb32eff3beef85e8a69a246c6f9c,670,368
13ee6df3e7ecb72eff3beef85e8a69a246c6f9c,673,368
13ee6df3e7ecf72eff3beef85e8a69a246c6f9c,674,369
13ee6df3e7ecf76eff3beef85e8a69a246c6f9c,676,367
13ee6df3e7ecf76eff3beef8de8a69a246c6f9c,680,373
13ef6df3e7ecf76eff3beef8de8a69a246c6f9c,680,373
13ef6df3e7ecf76eff3bfef8de8a69a246c6f9c,689,377
13ef6df3e7ecf76eff3bfef8de8a69a246c6fbc,714,380
13ef7df3e7ecf76eff3bfef8de8a69a246c6fbc,714,380
13ef7df3e7ecf76eff3bfef8de8a69a246d6fbc,776,408
13ef7dfbe7ecf76eff3bfef8de8a69a246d6fbc,841,447
13ef7dfbe7ecf76eff7bfef8de8a69a246d6fbc,843,449
13ef7dfbe7ecf76fff7bfef8de8a69a246d6fbc,845,451
13ef7dfbe7ecf76fff7bfef8deca69a246d6fbc,847,451
13ef7dfbe7ecf76fff7bfef8deca69a247d6fbc,853,462
17ef7dfbe7ecf76fff7bfef8deca69a247d6fbc,854,463
17ef7dfbe7ecf76fff7bfef9deca69a247d6fbc,856,465
17ef7dfbe7ecf76fff7bfef9decb69a247d6fbc,862,476
17ef7dffe7ecf76fff7bfef9decb69a247d6fbc,863,477
17ef7dffe7ecf76fff7bfef9dfcb69a247d6fbc,882,483
17ef7dffe7eef76fff7bfef9dfcb69a247d6fbc,897,491
17ef7dffe7eef76fff7bfef9dfcb6ba247d6fbc,905,510
17ef7dffe7eef76fff7bfef9dfcb6ba647d6fbc,913,520
17ef7dffe7eef76fff7bfef9dfcb6ba667d6fbc,921,530
17ef7dffe7eef77fff7bfef9dfcb6ba667d6fbc,927,539
17ef7dffe7eef77fff7bfef9dfcb6ba667f6fbc,1024,577
17ef7dffe7eef77ffffbfef9dfcb6ba667f6fbc,1026,580
17ef7dffe7eef77ffffbfef9dfcb6ba667f6ffc,1066,586
17ef7dffe7eef77ffffbfef9dfcb6ba667f7ffc,1102,646
17ef7dffe7eef77ffffbfef9dfcf6ba667f7ffc,1114,654
1fef7dffe7eef77ffffbfef9dfcf6ba667f7ffc,1115,656
1fef7dffe7eff77ffffbfef9dfcf6ba667f7ffc,1115,656
1fef7dffe7eff77ffffffef9dfcf6ba667f7ffc,1121,665
